trial,environment_seed,sensor_seed,sensor_scenario,sensor_scenario_name,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
0,2730937650,2972426433,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.4722698081895754,73.8,14.724477700762929,14.454892214981566,0.3681366174145924,0.509357006153355,0.37035328466808043,0.303804788006149,0.4250285279568254,0.3173899535226531,0.04731362142227296,0.40506178663164216,0.07402074179846434,0.0,0.13828047649953454,5.603375244386527,5.603375244386527,0.0,7.982471929792345e-17,2.7833528704240246e-16,0.23926544108169792,0.239265441081698,0.0,69.89999999999999,0.0,0.0,3.8999999999999986,0.0,73.8,0.0,0.0,0.0,0.0,True,False,False
1,725595369,1766001812,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.22558989360003726,72.5,14.233241687210924,14.18806012461787,0.3636586353321489,0.48855147231287677,0.3658157936532584,0.311667929143833,0.43416048412548197,0.3187741177903289,0.04873994851011443,0.41938732954505414,0.0741241702602018,0.0,0.07694357030450973,5.645296337006789,5.645296337006789,0.0,8.044152156779378e-17,2.779024842816778e-16,0.26916322102365364,0.2691632210236537,0.0,56.59999999999999,4.000000000000007,7.499999999999994,4.400000000000006,0.0,72.5,0.0,0.0,0.0,0.0,True,True,False
2,696368142,856203148,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.3839457626492692,64.9,13.113333249156343,12.835580577877149,0.3677053800836409,0.49382412292674543,0.37057513621334515,0.3522575608424514,0.4319869262778658,0.3588828185249059,0.05387724965811638,0.3967489461891577,0.07721194393650496,0.18350225276671542,0.09855776766887447,5.289290313817346,5.289290313817346,0.0,8.899891982543836e-17,1.962615573354719e-16,0.2703371168714311,0.27033711687143097,0.0,61.800000000000004,3.1000000000000014,0.0,0.0,0.0,64.9,0.0,0.0,0.0,0.0,False,False,False
3,707573593,2121814943,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.2588127571992073,71.3,14.246115697065909,13.975985827963239,0.3657909567138297,0.5096281575465744,0.3680990505828431,0.30897700091448416,0.4114757174391404,0.31568229433319345,0.053608375255206196,0.40866834113549505,0.07647874735416603,0.0,0.12582915350988388,5.568856331235052,5.568856331235052,0.0,8.258176744768112e-17,2.5219801032797316e-16,0.3826093929594018,0.3826093929594018,0.0,62.300000000000004,6.699999999999996,2.299999999999997,0.0,0.0,65.8,5.5,0.0,0.0,0.0,False,True,False
4,1443673076,4002826033,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.32417400031463656,75.0,15.418548285966686,15.333738415326255,0.35865133100721397,0.48668368934625134,0.36117515426661817,0.27963684757067997,0.41487621039767886,0.29271278543252227,0.05273632888434537,0.38898760090355183,0.07317961487430169,0.0,0.13737039369915038,6.163755060555057,6.163755060555058,0.0,8.147518887848214e-17,2.8066088919804617e-16,0.2526892261257587,0.2526892261257587,0.0,62.4,10.600000000000001,2.0,0.0,0.0,73.8,1.1999999999999957,0.0,0.0,0.0,False,True,False
5,1283743613,2132980747,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.419903983466905,71.3,13.89846940554039,13.845509908924008,0.3663882734110453,0.5229417762088497,0.36881077293206865,0.3220267806548218,0.48189649522327094,0.3303779577250387,0.05272720759543098,0.3633307994614196,0.07424440701614177,0.0,0.16729862983993726,5.657889644805744,5.657889644805744,0.0,7.976862358847115e-17,2.5133742693021536e-16,0.39919382074798154,0.39919382074798154,0.0,62.9,4.6,1.3999999999999986,2.3999999999999986,0.0,71.3,0.0,0.0,0.0,0.0,True,True,False
6,2118442539,3858050010,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.3049119312494269,76.5,15.474605934935358,15.480072929749646,0.3623062082910324,0.49620785995427663,0.3645055034656924,0.2745899222394955,0.40001850991767,0.2897844197429856,0.04967948741580423,0.31201634238612314,0.06879745503278761,0.0,0.13906111199794635,5.781114183862089,5.781114183862089,0.0,8.128452335981139e-17,2.779024842816778e-16,0.28226058136216864,0.28226058136216864,0.0,63.699999999999996,12.199999999999994,0.0,0.6000000000000085,0.0,75.59999999999998,0.9000000000000128,0.0,0.0,0.0,True,False,False
7,1122514226,3692069387,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.3275886725332073,68.60000000000001,14.26826786564764,14.29819271388575,0.36312619699347165,0.483343759906855,0.36597082667839315,0.30333994221471544,0.4317205304668163,0.32034862043334483,0.05837174493694835,0.3962518015673242,0.0782650498033372,0.0,0.07110417033539494,5.891404985705691,5.89140498570569,0.0,8.856176798153897e-17,2.5018537765542007e-16,0.26984144904069024,0.26984144904069024,0.0,51.10000000000001,14.600000000000005,2.3000000000000007,0.5999999999999943,0.0,61.2,7.400000000000002,0.0,0.0,0.0,True,True,False
8,2945440137,252367688,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,False,False,false_completion,0.4425610255947356,75.2,14.910336419370656,14.679742900388355,0.3583635067431905,0.4903889845492658,0.3607088054907062,0.2876834569572711,0.4205247918917913,0.30006133811822144,0.05168568949148292,0.43018799929106255,0.07505136112768303,0.0,0.10359272037979848,6.118256705356593,6.118256705356592,0.0,7.950149572956687e-17,2.2215299868541707e-16,0.32028081057250735,0.3202808105725073,0.0,73.6,0.0,0.0,1.6000000000000014,0.0,74.9,0.29999999999999716,0.0,0.0,0.0,True,False,False
9,278029302,3907757283,1,gaussian_plus_offset,CombinedErrorSensor,0.65,0.2,0.1,0.05,True,True,True,False,safety_violation,0.2831607985299971,69.10000000000001,14.256257683826458,14.10187113209799,0.3635350475502916,0.5163918988270605,0.3657265981947824,0.31435733117741343,0.42233569967759815,0.32349622518731685,0.0538924739621509,0.5163918988270605,0.08241944969704601,0.0,0.0906034776104132,5.553946002725292,5.553946002725292,0.0,8.610005679593799e-17,2.8177377798042847e-16,0.39522281879183413,0.39522281879183413,0.0,58.6,8.200000000000003,2.3000000000000043,0.0,0.0,69.10000000000001,0.0,0.0,0.0,0.0,False,True,False
