trial,environment_seed,sensor_seed,sensor_scenario,sensor_model,free_probability,occupied_probability,disallowed_probability,restricted_probability,planning_success,onboard_completion,true_goal_reached,true_mission_success,termination_state,final_true_distance,completion_time,actual_path_length,planned_path_length,mean_estimation_error,max_estimation_error,rmse_estimation_error,mean_true_cross_track_error,max_true_cross_track_error,rmse_true_cross_track_error,mean_estimated_cross_track_error,max_estimated_cross_track_error,rmse_estimated_cross_track_error,minimum_true_clearance,minimum_estimated_clearance,commanded_control_effort,applied_control_effort,control_saturation_fraction,mean_control_saturation_error,max_control_saturation_error,max_commanded_acceleration,max_applied_acceleration,measurement_dropout_fraction,true_free_time,true_occupied_time,true_disallowed_time,true_restricted_time,true_out_of_bounds_time,estimated_free_time,estimated_occupied_time,estimated_disallowed_time,estimated_restricted_time,estimated_out_of_bounds_time,restricted_violation,disallowed_violation,out_of_bounds_violation
27,1111264787,4065620520,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.24586465267307808,74.4,14.591326189712136,14.728369484036861,0.04871485674520041,0.1475481066634577,0.056146964751313096,0.03924161551269625,0.11829388871524671,0.050063652186905665,0.04670432769615226,0.16281731773849623,0.05786534595148444,0.15483622399653313,0.09324261301217361,5.741852821874044,5.741852821874042,0.0,7.834656058708488e-17,2.776424787817943e-16,0.2757197147426191,0.275719714742619,0.0,72.6,1.8000000000000007,0.0,0.0,0.0,72.2,2.200000000000003,0.0,0.0,0.0,False,False,False
28,2510656374,2158734882,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.24898404425837498,69.7,14.153341600476352,14.352172965154114,0.05120047936323736,0.12799760215445544,0.056671921707498026,0.03362158146996102,0.12871546097571326,0.04379308519370224,0.04452590200109344,0.20766795180396874,0.0585198454646295,0.07932982705787991,0.030378635702234202,5.589000925298494,5.589000925298494,0.0,8.051678666585822e-17,2.7755575615628914e-16,0.2660944674688177,0.26609446746881776,0.0,69.7,0.0,0.0,0.0,0.0,69.5,0.20000000000000284,0.0,0.0,0.0,False,False,False
29,776177852,593623063,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.18553159448454767,71.5,14.483498129604193,14.62379040479618,0.04972986683193678,0.13559415602413427,0.05595408731242151,0.027469102411132998,0.11849373186892592,0.03623952834541296,0.03991876081164745,0.19766597326178661,0.05105772168699104,0.10326001912904037,0.05150369951927658,5.529900612590149,5.529900612590149,0.0,8.222591014038834e-17,2.7755575615628914e-16,0.37298640248684106,0.37298640248684106,0.0,71.3,0.20000000000000284,0.0,0.0,0.0,71.39999999999999,0.10000000000000142,0.0,0.0,0.0,False,False,False
30,1784140346,3302052398,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.15919783869478005,61.6,13.04253655079663,13.138353392658153,0.05357716425299035,0.16241468576817153,0.06097771484578831,0.029130847711053856,0.092229067015484,0.03656678249208884,0.043733662207110856,0.15950721462120063,0.053848835262539606,0.1243426191867579,0.06886356208425515,5.357305719557515,5.357305719557515,0.0,9.187954456757814e-17,2.2247786310271853e-16,0.2992305068753283,0.2992305068753283,0.0,61.4,0.1999999999999993,0.0,0.0,0.0,61.4,0.1999999999999993,0.0,0.0,0.0,False,False,False
31,2641125193,2651424006,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1762965141291007,64.10000000000001,13.123144444100866,13.193169013662835,0.05025813022762004,0.14968455537908265,0.05715814536808095,0.03041228976708864,0.08294383773379096,0.037970616849302495,0.04451335892849355,0.17104963574621848,0.05535929200602375,0.1000025709097894,0.07330969542754331,5.13590223181045,5.13590223181045,0.0,8.707491410458554e-17,2.2887833992611187e-16,0.2156070721651147,0.21560707216511463,0.0,64.00000000000001,0.09999999999999432,0.0,0.0,0.0,63.80000000000001,0.29999999999999716,0.0,0.0,0.0,False,False,False
32,1795684940,3685986929,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.24067079902619193,68.10000000000001,13.421368821834363,13.549979071100902,0.051113432671779126,0.15775199060540912,0.05771410100319001,0.029424324489121235,0.09100732126481056,0.03726622494270907,0.04429850755355238,0.15775199060540912,0.05521154393034676,0.12027363008003507,0.1015222339666202,5.572896574655092,5.5728965746550925,0.0,8.31332682874211e-17,2.063081476116683e-16,0.3414073813049734,0.3414073813049734,0.0,68.0,0.10000000000000142,0.0,0.0,0.0,67.8,0.30000000000000426,0.0,0.0,0.0,False,False,False
33,3110273622,901076319,0,GaussianSensor,0.65,0.2,0.1,0.05,False,False,False,False,planning_failure,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,
34,2022676417,8024183,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.1949260619121107,68.4,13.409065620429747,13.587325000119955,0.056004118976843945,0.25927021859081356,0.06326673810902969,0.030335400532601267,0.08688783273511369,0.03588157874614526,0.04130117178162837,0.25927021859081356,0.050941315949748794,0.09360004052910348,0.09451617910229568,5.16726517396175,5.16726517396175,0.0,8.47156548683446e-17,2.498001805406602e-16,0.23216597154450605,0.23216597154450608,0.0,67.7,0.7000000000000028,0.0,0.0,0.0,67.4,1.0,0.0,0.0,0.0,False,False,False
35,3642562690,2703284287,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.26074216451512167,65.0,13.076704693192575,13.281738281536315,0.05114232682206493,0.19343075095213036,0.05798927141792513,0.02581689898041331,0.09138525526111811,0.031095383094970775,0.038533414724416855,0.1908700358481029,0.04931579713223669,0.1257807754063341,0.08478030298982425,5.143745305536723,5.143745305536723,0.0,8.715622221529274e-17,2.237726045655905e-16,0.23822737740144426,0.23822737740144417,0.0,63.5,1.5,0.0,0.0,0.0,64.2,0.7999999999999972,0.0,0.0,0.0,False,False,False
36,2177358447,552501486,0,GaussianSensor,0.65,0.2,0.1,0.05,True,True,True,True,goal_reached,0.23274063378662735,75.5,14.724679962614688,14.779659031476784,0.05095701814333499,0.17096670685997653,0.057417214596351435,0.029941363936369154,0.09032839378692303,0.03734611986089202,0.04340693815142924,0.15375797193930005,0.05387018892887398,0.15753859649182508,0.13017126781167923,5.765684459221411,5.765684459221412,0.0,8.20626950578713e-17,2.7894008272968645e-16,0.24734682079723555,0.24734682079723558,0.0,75.5,0.0,0.0,0.0,0.0,75.5,0.0,0.0,0.0,0.0,False,False,False
